Word	Number of Instance	Number of Sense	Perplexity
haley	1140	2	2.0
sprinkle	1140	2	2.0
ballistics	1140	2	2.0
owner	1600	2	2.0
persian	1140	2	2.0
sponsor	1140	2	2.0
madras	1110	3	3.0
portland	1140	2	2.0
hart	1110	3	3.0
scribe	1280	4	4.0
niger	1140	2	2.0
hacker	1280	4	4.0
perry	1280	4	4.0
cocktail	1140	2	2.0
profit	1140	2	2.0
god	1280	4	4.0
rep	1140	2	2.0
cognomen	1140	2	2.0
legal_separation	1140	2	2.0
mason	1375	5	5.0
hill	1025	5	5.0
shipment	1140	2	2.0
reader	1560	8	8.0
herder	1140	2	2.0
pendent	1140	2	2.0
haydn	1140	2	2.0
burke	1140	2	2.0
psychopathology	1140	2	2.0
seigneury	1140	2	2.0
lawrence	1610	7	7.0
fugitive	1140	2	2.0
virtuoso	1140	2	2.0
aboriginal	1140	2	2.0
flyer	1110	3	3.0
heartbreaker	1140	2	2.0
imaging	1140	2	2.0
scalawag	1110	3	3.0
mistress	1110	3	3.0
beginning	1975	5	5.0
dispatcher	1140	2	2.0
minstrel	1140	2	2.0
faller	1140	2	2.0
watchword	1140	2	2.0
comrade	990	3	3.0
ptolemy	1140	2	2.0
public_square	1140	2	2.0
david	1110	3	3.0
benedict	1110	3	3.0
dribbler	1140	2	2.0
iceman	1140	2	2.0
one-way_street	1140	2	2.0
davis	1440	6	6.0
barber	1140	2	2.0
lewiston	1140	2	2.0
artaxerxes	1140	2	2.0
stewart	1140	2	2.0
crape	1140	2	2.0
sinclair	1140	2	2.0
stevens	1110	3	3.0
croesus	1140	2	2.0
fancy	1110	3	3.0
pop	1280	4	4.0
congo	1280	4	4.0
florist	1140	2	2.0
favouritism	1140	2	2.0
payload	1140	2	2.0
stuffer	1140	2	2.0
inmate	1110	3	3.0
story	1710	6	6.0
lister	1110	3	3.0
guest	1000	4	4.0
guinness	1140	2	2.0
carrel	1140	2	2.0
bargainer	1140	2	2.0
pull-up	1140	2	2.0
lobby	1110	3	3.0
carson	1140	2	2.0
zealot	1140	2	2.0
master	2100	10	10.0
burgess	1140	2	2.0
mama	1140	2	2.0
aristocracy	1140	2	2.0
giver	1140	2	2.0
danish	1140	2	2.0
defaulter	1110	3	3.0
travail	1140	2	2.0
para	1375	5	5.0
shelf	1140	2	2.0
strongman	1140	2	2.0
illusionist	1140	2	2.0
slider	1280	4	4.0
palsy	1140	2	2.0
johann_strauss	1140	2	2.0
holder	990	3	3.0
bach	1140	2	2.0
padre	1140	2	2.0
std	1140	2	2.0
hays	1110	3	3.0
noguchi	1140	2	2.0
easement	1140	2	2.0
roadman	1140	2	2.0
singles	1140	2	2.0
coward	1140	2	2.0
goldenbush	1140	2	2.0
browning	1280	4	4.0
roberts	1280	4	4.0
bride	1110	3	3.0
williams	1440	6	6.0
dispenser	1140	2	2.0
counselor	1110	3	3.0
aragon	1140	2	2.0
steer	1140	2	2.0
cleaner	1110	3	3.0
fashion	1460	4	4.0
guggenheim	1140	2	2.0
hershey	1140	2	2.0
voicer	1140	2	2.0
spender	1110	3	3.0
minstrel_show	1140	2	2.0
allen	1110	3	3.0
turner	1600	8	8.0
nazi	1140	2	2.0
laugher	1140	2	2.0
parliamentarian	1140	2	2.0
wanderer	1140	2	2.0
walk-in	1280	4	4.0
montgomery	1110	3	3.0
meade	1140	2	2.0
take	1140	2	2.0
nylon	1140	2	2.0
donor	1140	2	2.0
mayer	1140	2	2.0
kremlin	1140	2	2.0
lecturer	1140	2	2.0
lancaster	1140	2	2.0
walton	1110	3	3.0
norman	1110	3	3.0
cordoba	1280	4	4.0
bruce	1140	2	2.0
cheesecake	1140	2	2.0
condensate	1140	2	2.0
translator	1110	3	3.0
skinner	1375	5	5.0
preliminary	1140	2	2.0
watt	1140	2	2.0
awe	1140	2	2.0
chancery	1140	2	2.0
grave	1995	3	3.0
ritz	1110	3	3.0
resident	1140	2	2.0
closet	1280	4	4.0
spode	1140	2	2.0
nan	1280	4	4.0
forerunner	1110	3	3.0
vernacular	1140	2	2.0
yucatan	1140	2	2.0
inge	1140	2	2.0
professional	1110	3	3.0
amphitheatre	1140	2	2.0
health_care	1140	2	2.0
straphanger	1140	2	2.0
medalist	1140	2	2.0
ironmonger	1140	2	2.0
turncock	1140	2	2.0
cruiser	1110	3	3.0
leicester	1140	2	2.0
violation	1825	5	5.0
rascal	1140	2	2.0
armament	1140	2	2.0
fleming	1110	3	3.0
trespass	1140	2	2.0
vulgariser	1140	2	2.0
madeira	1110	3	3.0
pardoner	1140	2	2.0
headshot	1110	3	3.0
flack	1110	3	3.0
defender	1140	2	2.0
cul_de_sac	1140	2	2.0
dormitory	1140	2	2.0
pastoral	1110	3	3.0
cumberland	1140	2	2.0
gulf	1110	3	3.0
dick	1140	2	2.0
wayne	1140	2	2.0
chopin	1110	3	3.0
lodge	1440	6	6.0
bourbon	1280	4	4.0
chamberlain	1110	3	3.0
boyle	1140	2	2.0
entrant	1280	4	4.0
shepherd	1140	2	2.0
dm	1140	2	2.0
commendation	1140	2	2.0
antagonism	1280	4	4.0
lessing	1140	2	2.0
leon	1110	3	3.0
shylock	1140	2	2.0
suer	1140	2	2.0
bunyan	1140	2	2.0
william_seward_burroughs	1140	2	2.0
wheeze	1140	2	2.0
registrar	1110	3	3.0
gem	1375	5	5.0
conservatory	1110	3	3.0
resource	1830	3	3.0
artificer	1110	3	3.0
exportation	1140	2	2.0
johns_hopkins	1140	2	2.0
krupp	1140	2	2.0
photostat	1140	2	2.0
morning	1020	4	4.0
priest	1500	2	2.0
release	2640	12	12.0
doubles	1140	2	2.0
gibson	1110	3	3.0
secretary	2000	4	4.0
madam	1140	2	2.0
benet	1140	2	2.0
packer	1110	3	3.0
spitter	1140	2	2.0
scourer	1140	2	2.0
turf	1110	3	3.0
outfielder	1140	2	2.0
naturalness	1110	3	3.0
transportation	1710	6	6.0
despatch	1280	4	4.0
excogitation	1140	2	2.0
bunting	1140	2	2.0
herschel	1140	2	2.0
severn	1140	2	2.0
half-wit	1140	2	2.0
imposition	1140	2	2.0
frankfort	1140	2	2.0
guinea_pig	1140	2	2.0
pavlova	1140	2	2.0
gas_oven	1140	2	2.0
hammock	1140	2	2.0
bruno	1110	3	3.0
athenaeum	1140	2	2.0
yardman	1140	2	2.0
solo	1110	3	3.0
mayflower	1140	2	2.0
aversion	1140	2	2.0
stealing	1140	2	2.0
uruguay_potato	1140	2	2.0
snitcher	1140	2	2.0
galley_slave	1140	2	2.0
seeder	1110	3	3.0
meter_reading	1140	2	2.0
butte	1140	2	2.0
avon	1110	3	3.0
referral	1110	3	3.0
histrionics	1140	2	2.0
stinker	1110	3	3.0
irregular	1140	2	2.0
ranger	1110	3	3.0
country	1800	5	5.0
reasonableness	1375	5	5.0
smoothie	1140	2	2.0
wallace	1110	3	3.0
residency	1140	2	2.0
dead_end	1140	2	2.0
vault	1280	4	4.0
luddite	1140	2	2.0
commando	1140	2	2.0
comer	1140	2	2.0
patois	1140	2	2.0
flier	1110	3	3.0
cabal	1140	2	2.0
beguiler	1140	2	2.0
pox	1140	2	2.0
cl	1140	2	2.0
sullivan	1375	5	5.0
ca	1140	2	2.0
crematory	1140	2	2.0
street_fighter	1140	2	2.0
dispatch	1280	4	4.0
cartwright	1140	2	2.0
twin	1280	4	4.0
dancer	1140	2	2.0
trifle	1110	3	3.0
pharmacy	1140	2	2.0
runaway	1140	2	2.0
moore	1440	6	6.0
swimmer	1140	2	2.0
vampirism	1140	2	2.0
storyteller	1140	2	2.0
field_house	1140	2	2.0
strategy	1000	2	2.0
mauser	1140	2	2.0
refrigeration	1140	2	2.0
hawking	1140	2	2.0
fry	1110	3	3.0
crawford	1140	2	2.0
chandler	1110	3	3.0
thompson	1140	2	2.0
trumbull	1110	3	3.0
champion	1060	4	4.0
favoritism	1140	2	2.0
butchery	1110	3	3.0
gas	2460	6	6.0
overnighter	1140	2	2.0
scallywag	1110	3	3.0
gap	1440	6	6.0
belvedere	1140	2	2.0
whitney	1140	2	2.0
child	1440	4	4.0
joliot-curie	1140	2	2.0
atlanta	1140	2	2.0
provider	1140	2	2.0
captivity	1140	2	2.0
pitman	1140	2	2.0
truant	1140	2	2.0
georgia	1050	3	3.0
conception	1620	4	4.0
lucknow	1140	2	2.0
illiteracy	1140	2	2.0
tip	1650	5	5.0
arnold	1140	2	2.0
bronte	1110	3	3.0
bikini	1140	2	2.0
salem	1110	3	3.0
pastorate	1140	2	2.0
coca	1110	3	3.0
cox	1140	2	2.0
loot	1140	2	2.0
landslide	1140	2	2.0
cock	1375	5	5.0
chauvinism	1140	2	2.0
cape_of_good_hope	1140	2	2.0
doormat	1140	2	2.0
veblen	1140	2	2.0
metropolitan	1140	2	2.0
eristic	1140	2	2.0
fonda	1140	2	2.0
kurdistan	1140	2	2.0
owen	1140	2	2.0
maisonnette	1140	2	2.0
speedway	1140	2	2.0
petitioner	1000	2	2.0
hardware	1110	3	3.0
middle	1500	4	4.0
aggressiveness	1110	3	3.0
madonna	1140	2	2.0
farsi	1140	2	2.0
fame	1140	2	2.0
monroe	1280	4	4.0
wriggler	1140	2	2.0
shooting	1190	2	2.0
russell	1610	7	7.0
doctor	1020	4	4.0
parish	1140	2	2.0
tapper	1375	5	5.0
virgin_mary	1140	2	2.0
butcher	1280	4	4.0
speaker	1320	3	3.0
powell	1140	2	2.0
pan	1280	4	4.0
raree-show	1140	2	2.0
waxwork	1140	2	2.0
fireman	1280	4	4.0
patrician	1140	2	2.0
vulture	1140	2	2.0
foreland	1140	2	2.0
harris	1440	6	6.0
experimenter	1140	2	2.0
decency	1140	2	2.0
saint_augustine	1140	2	2.0
nickname	1140	2	2.0
cartoon	1140	2	2.0
fielder	1140	2	2.0
squatter	1140	2	2.0
warrantee	1110	3	3.0
dylan	1140	2	2.0
waterspout	1110	3	3.0
walpole	1140	2	2.0
client	1110	3	3.0
command	1855	7	7.0
mann	1140	2	2.0
hamilton	1440	6	6.0
cynic	1140	2	2.0
lawlessness	1140	2	2.0
bearer	1280	4	4.0
kali	1140	2	2.0
wagner	1110	3	3.0
churchill	1110	3	3.0
barth	1140	2	2.0
harrison	1280	4	4.0
madness	1375	5	5.0
plight	1140	2	2.0
cabaret	1140	2	2.0
baldwin	1110	3	3.0
fairy_godmother	1140	2	2.0
ostiary	1140	2	2.0
rover	1140	2	2.0
whoremaster	1140	2	2.0
candidate	1250	2	2.0
vulgarizer	1140	2	2.0
cornell	1140	2	2.0
smith	2050	10	10.0
no-show	1140	2	2.0
bench	1330	7	7.0
wright	1610	7	7.0
punter	1110	3	3.0
contestant	1140	2	2.0
barnburner	1140	2	2.0
peepshow	1140	2	2.0
du_maurier	1140	2	2.0
parker	1140	2	2.0
service_club	1140	2	2.0
advocate	1140	2	2.0
crud	1110	3	3.0
virginia	990	3	3.0
forester	1140	2	2.0
atheneum	1140	2	2.0
cataclysm	1140	2	2.0
community	1080	6	6.0
judge	1140	2	2.0
loaner	1140	2	2.0
shadow	1800	9	9.0
burns	1140	2	2.0
lady	1110	3	3.0
nationalist	1140	2	2.0
el_libertador	1140	2	2.0
insurgent	1140	2	2.0
standstill	1140	2	2.0
renegade	1140	2	2.0
amputation	1140	2	2.0
kennedy	1140	2	2.0
nasser	1140	2	2.0
crematorium	1140	2	2.0
pavement	1110	3	3.0
writing_desk	1140	2	2.0
bullfinch	1140	2	2.0
little_bighorn	1140	2	2.0
martin	1375	5	5.0
rota	1140	2	2.0
settler	990	3	3.0
software_package	1140	2	2.0
opponent	1140	2	2.0
snatcher	1140	2	2.0
superintendent	1140	2	2.0
sierra_nevada	1140	2	2.0
soma	1110	3	3.0
changeling	1140	2	2.0
left-hander	1140	2	2.0
captive	1110	3	3.0
empire	1375	5	5.0
informant	1140	2	2.0
cowper	1140	2	2.0
library	1375	5	5.0
cooper	1280	4	4.0
prelacy	1140	2	2.0
harriman	1140	2	2.0
singing	1140	2	2.0
baronetage	1140	2	2.0
yogi	1140	2	2.0
santa_ana	1280	4	4.0
philosopher	1060	2	2.0
pudding	1110	3	3.0
foe	1160	2	2.0
masculinity	1140	2	2.0
drudge	1140	2	2.0
convict	1140	2	2.0
yukon	1140	2	2.0
whitman	1140	2	2.0
porter	1610	7	7.0
officer	1360	4	4.0
voluntary	1140	2	2.0
sherman	1280	4	4.0
watson	1110	3	3.0
robbery	1140	2	2.0
repository	1110	3	3.0
reaching	1140	2	2.0
easy_money	1140	2	2.0
lefty	1140	2	2.0
slaughter	1110	3	3.0
zombie	1375	5	5.0
weil	1140	2	2.0
thrower	1110	3	3.0
keeper	1140	2	2.0
schumann	1140	2	2.0
bazaar	1110	3	3.0
gold_digger	1140	2	2.0
fairy	1140	2	2.0
rambler	1140	2	2.0
manufacturer	1250	2	2.0
works	1280	4	4.0
trickster	1110	3	3.0
cowboy	1110	3	3.0
plaza	1140	2	2.0
hard_hat	1140	2	2.0
scott	1375	5	5.0
burroughs	1110	3	3.0
whoremonger	1140	2	2.0
fast_lane	1140	2	2.0
ruhr	1140	2	2.0
stuart	1110	3	3.0
colorado_river	1140	2	2.0
cordon_bleu	1140	2	2.0
joplin	1140	2	2.0
sept	1140	2	2.0
marlowe	1140	2	2.0
maisonette	1140	2	2.0
respondent	1140	2	2.0
colorado	1110	3	3.0
rudiment	1140	2	2.0
medallist	1140	2	2.0
terry	1140	2	2.0
comedienne	1140	2	2.0
field_of_honor	1140	2	2.0
aliyah	1140	2	2.0
burton	1110	3	3.0
cubicle	1110	3	3.0
showman	1140	2	2.0
parentage	1110	3	3.0
saint_nicholas	1140	2	2.0
pitot	1140	2	2.0
panorama	1140	2	2.0
utility_man	1140	2	2.0
imperial	1140	2	2.0
rusher	1110	3	3.0
vicksburg	1140	2	2.0
frustration	1110	3	3.0
valencia	1140	2	2.0
packinghouse	1140	2	2.0
morrison	1140	2	2.0
pricket	1140	2	2.0
mailer	1280	4	4.0
amateur	1000	2	2.0
stimulant	1140	2	2.0
small_fry	1140	2	2.0
coke	1110	3	3.0
buttery	1140	2	2.0
singer	1110	3	3.0
inactiveness	1140	2	2.0
striker	1375	5	5.0
pixie	1140	2	2.0
uncle	1140	2	2.0
competition	1460	4	4.0
bagger	1140	2	2.0
potato	1140	2	2.0
conservator	1140	2	2.0
corduroy	1140	2	2.0
thorndike	1140	2	2.0
wise	1110	3	3.0
stanford	1140	2	2.0
corpus_christi	1140	2	2.0
indisposition	1140	2	2.0
redeemer	1140	2	2.0
prescriptivism	1140	2	2.0
gould	1140	2	2.0
charmer	1140	2	2.0
signer	1140	2	2.0
protectiveness	1140	2	2.0
aa	1110	3	3.0
rotisserie	1140	2	2.0
citizenship	1140	2	2.0
barrymore	1375	5	5.0
umpire	1140	2	2.0
pic	1140	2	2.0
olympic_games	1140	2	2.0
amphitheater	1140	2	2.0
rubinstein	1140	2	2.0
pelter	1140	2	2.0
ar	1110	3	3.0
midweek	1140	2	2.0
fatherhood	1280	4	4.0
leakey	1110	3	3.0
tragedian	1140	2	2.0
heath	1140	2	2.0
eliot	1140	2	2.0
stylist	1140	2	2.0
tourer	1140	2	2.0
peter	1140	2	2.0
handel	1140	2	2.0
corporation	1000	2	2.0
fitzgerald	1110	3	3.0
actor	1000	2	2.0
saviour	1140	2	2.0
literalism	1140	2	2.0
forge	1140	2	2.0
sailor	1110	3	3.0
gershwin	1140	2	2.0
chemist	1140	2	2.0
seeger	1140	2	2.0
cellar	1110	3	3.0
severn_river	1140	2	2.0
pitchman	1140	2	2.0
handiness	1140	2	2.0
peacekeeper	1110	3	3.0
prosecution	1110	3	3.0
carnegie	1140	2	2.0
dunker	1110	3	3.0
averting	1140	2	2.0
tanganyika	1140	2	2.0
foil	1375	5	5.0
devon	1140	2	2.0
arbiter	1140	2	2.0
silverweed	1140	2	2.0
rising	1140	2	2.0
richardson	1140	2	2.0
pope	1140	2	2.0
struma	1140	2	2.0
dewey	1110	3	3.0
doubter	1140	2	2.0
castaway	1140	2	2.0
fighter	1665	3	3.0
infanticide	1140	2	2.0
omnibus	1140	2	2.0
tete-a-tete	1140	2	2.0
ogden	1140	2	2.0
jewel	1140	2	2.0
quandary	1140	2	2.0
conferrer	1140	2	2.0
ball-buster	1140	2	2.0
study_hall	1140	2	2.0
inset	1110	3	3.0
firestorm	1140	2	2.0
potato_tree	1140	2	2.0
walker	1440	6	6.0
management	1420	2	2.0
rescuer	1140	2	2.0
commencement	1110	3	3.0
