Word	Number of Instance	Number of Sense	Perplexity
lawrence	1625	6	2.94071492696
fugitive	1140	2	1.45133049498
virtuoso	1140	2	1.45133049498
aboriginal	1140	2	1.45133049498
flyer	1110	3	1.44785876244
heartbreaker	1140	2	1.45133049498
imaging	1140	2	1.45133049498
scalawag	1110	3	1.44785876244
mistress	1110	3	1.44785876244
beginning	1990	5	3.66023332349
dispatcher	1140	2	1.45133049498
minstrel	1140	2	1.45133049498
faller	1140	2	1.45133049498
watchword	1140	2	1.45133049498
comrade	1000	1	1.0
ptolemy	1140	2	1.45133049498
public_square	1140	2	1.45133049498
david	1110	3	1.44785876244
benedict	1110	3	1.44785876244
dribbler	1140	2	1.45133049498
iceman	1140	2	1.45133049498
one-way_street	1140	2	1.45133049498
davis	1440	5	2.4747591631
barber	1140	2	1.45133049498
lewiston	1140	2	1.45133049498
artaxerxes	1140	2	1.45133049498
stewart	1140	2	1.45133049498
crape	1140	2	1.45133049498
sinclair	1140	2	1.45133049498
stevens	1110	3	1.44785876244
croesus	1140	2	1.45133049498
fancy	1110	3	1.44785876244
pop	1290	4	1.98229500311
congo	1290	4	1.98229500311
florist	1140	2	1.45133049498
favouritism	1140	2	1.45133049498
payload	1140	2	1.45133049498
stuffer	1140	2	1.45133049498
inmate	1110	3	1.44785876244
story	1735	6	3.34090111913
lister	1110	3	1.44785876244
guest	1000	1	1.0
guinness	1140	2	1.45133049498
carrel	1140	2	1.45133049498
bargainer	1140	2	1.45133049498
pull-up	1140	2	1.45133049498
lobby	1110	3	1.44785876244
carson	1140	2	1.45133049498
zealot	1140	2	1.45133049498
master	2125	6	3.98002669543
burgess	1140	2	1.45133049498
mama	1140	2	1.45133049498
aristocracy	1140	2	1.45133049498
giver	1140	2	1.45133049498
danish	1140	2	1.45133049498
defaulter	1110	3	1.44785876244
travail	1140	2	1.45133049498
para	1375	5	2.30431306448
shelf	1140	2	1.45133049498
strongman	1140	2	1.45133049498
illusionist	1140	2	1.45133049498
slider	1290	4	1.98229500311
palsy	1140	2	1.45133049498
johann_strauss	1140	2	1.45133049498
holder	1000	1	1.0
bach	1140	2	1.45133049498
padre	1140	2	1.45133049498
std	1140	2	1.45133049498
hays	1110	3	1.44785876244
noguchi	1140	2	1.45133049498
easement	1140	2	1.45133049498
roadman	1140	2	1.45133049498
singles	1140	2	1.45133049498
coward	1140	2	1.45133049498
goldenbush	1140	2	1.45133049498
browning	1290	4	1.98229500311
roberts	1290	4	1.98229500311
bride	1110	3	1.44785876244
williams	1440	5	2.4747591631
dispenser	1140	2	1.45133049498
counselor	1110	3	1.44785876244
aragon	1140	2	1.45133049498
steer	1140	2	1.45133049498
cleaner	1110	3	1.44785876244
fashion	1465	3	2.23098661401
guggenheim	1140	2	1.45133049498
hershey	1140	2	1.45133049498
voicer	1140	2	1.45133049498
spender	1110	3	1.44785876244
minstrel_show	1140	2	1.45133049498
allen	1110	3	1.44785876244
turner	1615	7	3.12527115021
nazi	1140	2	1.45133049498
laugher	1140	2	1.45133049498
parliamentarian	1140	2	1.45133049498
wanderer	1140	2	1.45133049498
walk-in	1290	4	1.98229500311
montgomery	1110	3	1.44785876244
meade	1140	2	1.45133049498
take	1140	2	1.45133049498
nylon	1140	2	1.45133049498
donor	1140	2	1.45133049498
mayer	1140	2	1.45133049498
kremlin	1140	2	1.45133049498
lecturer	1140	2	1.45133049498
lancaster	1140	2	1.45133049498
walton	1110	3	1.44785876244
norman	1110	3	1.44785876244
cordoba	1290	4	1.98229500311
bruce	1140	2	1.45133049498
cheesecake	1140	2	1.45133049498
condensate	1140	2	1.45133049498
translator	1110	3	1.44785876244
skinner	1375	5	2.30431306448
preliminary	1140	2	1.45133049498
watt	1140	2	1.45133049498
awe	1140	2	1.45133049498
chancery	1140	2	1.45133049498
grave	2000	2	2.0
ritz	1110	3	1.44785876244
resident	1140	2	1.45133049498
closet	1290	4	1.98229500311
spode	1140	2	1.45133049498
nan	1290	4	1.98229500311
forerunner	1110	3	1.44785876244
vernacular	1140	2	1.45133049498
yucatan	1140	2	1.45133049498
inge	1140	2	1.45133049498
professional	1110	3	1.44785876244
amphitheatre	1140	2	1.45133049498
health_care	1140	2	1.45133049498
straphanger	1140	2	1.45133049498
medalist	1140	2	1.45133049498
ironmonger	1140	2	1.45133049498
turncock	1140	2	1.45133049498
cruiser	1110	3	1.44785876244
leicester	1140	2	1.45133049498
violation	1825	4	3.2072835835
rascal	1140	2	1.45133049498
armament	1140	2	1.45133049498
fleming	1110	3	1.44785876244
trespass	1140	2	1.45133049498
vulgariser	1140	2	1.45133049498
madeira	1110	3	1.44785876244
pardoner	1140	2	1.45133049498
headshot	1110	3	1.44785876244
flack	1110	3	1.44785876244
defender	1140	2	1.45133049498
cul_de_sac	1140	2	1.45133049498
dormitory	1140	2	1.45133049498
pastoral	1110	3	1.44785876244
cumberland	1140	2	1.45133049498
gulf	1110	3	1.44785876244
dick	1140	2	1.45133049498
wayne	1140	2	1.45133049498
chopin	1110	3	1.44785876244
lodge	1440	5	2.4747591631
bourbon	1290	4	1.98229500311
chamberlain	1110	3	1.44785876244
boyle	1140	2	1.45133049498
entrant	1290	4	1.98229500311
shepherd	1140	2	1.45133049498
dm	1140	2	1.45133049498
commendation	1140	2	1.45133049498
antagonism	1290	4	1.98229500311
lessing	1140	2	1.45133049498
leon	1110	3	1.44785876244
shylock	1140	2	1.45133049498
suer	1140	2	1.45133049498
bunyan	1140	2	1.45133049498
william_seward_burroughs	1140	2	1.45133049498
wheeze	1140	2	1.45133049498
registrar	1110	3	1.44785876244
gem	1375	5	2.30431306448
conservatory	1110	3	1.44785876244
resource	1830	3	2.49683762522
artificer	1110	3	1.44785876244
exportation	1140	2	1.45133049498
johns_hopkins	1140	2	1.45133049498
krupp	1140	2	1.45133049498
photostat	1140	2	1.45133049498
morning	1020	2	1.10131944973
priest	1500	2	1.88988157484
release	2655	6	5.11592053081
doubles	1140	2	1.45133049498
gibson	1110	3	1.44785876244
secretary	2000	2	2.0
madam	1140	2	1.45133049498
benet	1140	2	1.45133049498
packer	1110	3	1.44785876244
spitter	1140	2	1.45133049498
scourer	1140	2	1.45133049498
turf	1110	3	1.44785876244
outfielder	1140	2	1.45133049498
naturalness	1110	3	1.44785876244
transportation	1710	2	1.97130734408
despatch	1290	4	1.98229500311
excogitation	1140	2	1.45133049498
bunting	1140	2	1.45133049498
herschel	1140	2	1.45133049498
severn	1140	2	1.45133049498
half-wit	1140	2	1.45133049498
imposition	1140	2	1.45133049498
frankfort	1140	2	1.45133049498
guinea_pig	1140	2	1.45133049498
pavlova	1140	2	1.45133049498
gas_oven	1140	2	1.45133049498
hammock	1140	2	1.45133049498
bruno	1110	3	1.44785876244
athenaeum	1140	2	1.45133049498
yardman	1140	2	1.45133049498
solo	1110	3	1.44785876244
mayflower	1140	2	1.45133049498
aversion	1140	2	1.45133049498
stealing	1140	2	1.45133049498
uruguay_potato	1140	2	1.45133049498
snitcher	1140	2	1.45133049498
galley_slave	1140	2	1.45133049498
seeder	1110	3	1.44785876244
meter_reading	1140	2	1.45133049498
butte	1140	2	1.45133049498
avon	1110	3	1.44785876244
referral	1110	3	1.44785876244
histrionics	1140	2	1.45133049498
stinker	1110	3	1.44785876244
irregular	1140	2	1.45133049498
ranger	1110	3	1.44785876244
country	1800	5	3.29926921513
reasonableness	1375	5	2.30431306448
smoothie	1140	2	1.45133049498
wallace	1110	3	1.44785876244
residency	1140	2	1.45133049498
dead_end	1140	2	1.45133049498
vault	1290	4	1.98229500311
luddite	1140	2	1.45133049498
commando	1140	2	1.45133049498
comer	1140	2	1.45133049498
patois	1140	2	1.45133049498
flier	1110	3	1.44785876244
cabal	1140	2	1.45133049498
beguiler	1140	2	1.45133049498
pox	1140	2	1.45133049498
cl	1140	2	1.45133049498
sullivan	1375	5	2.30431306448
ca	1140	2	1.45133049498
crematory	1140	2	1.45133049498
street_fighter	1140	2	1.45133049498
dispatch	1290	4	1.98229500311
cartwright	1140	2	1.45133049498
twin	1290	4	1.98229500311
dancer	1140	2	1.45133049498
trifle	1110	3	1.44785876244
pharmacy	1140	2	1.45133049498
runaway	1140	2	1.45133049498
moore	1440	5	2.4747591631
swimmer	1140	2	1.45133049498
vampirism	1140	2	1.45133049498
storyteller	1140	2	1.45133049498
field_house	1140	2	1.45133049498
strategy	1000	1	1.0
mauser	1140	2	1.45133049498
refrigeration	1140	2	1.45133049498
hawking	1140	2	1.45133049498
fry	1110	3	1.44785876244
crawford	1140	2	1.45133049498
chandler	1110	3	1.44785876244
thompson	1140	2	1.45133049498
trumbull	1110	3	1.44785876244
champion	1070	2	1.2733216153
favoritism	1140	2	1.45133049498
butchery	1110	3	1.44785876244
gas	2460	5	3.45679484872
overnighter	1140	2	1.45133049498
scallywag	1110	3	1.44785876244
gap	1440	5	2.4747591631
belvedere	1140	2	1.45133049498
whitney	1140	2	1.45133049498
child	1440	3	1.88607322533
joliot-curie	1140	2	1.45133049498
atlanta	1140	2	1.45133049498
provider	1140	2	1.45133049498
captivity	1140	2	1.45133049498
pitman	1140	2	1.45133049498
truant	1140	2	1.45133049498
georgia	1055	2	1.22721528402
conception	1630	4	2.81944223604
lucknow	1140	2	1.45133049498
illiteracy	1140	2	1.45133049498
tip	1660	3	2.57954022574
arnold	1140	2	1.45133049498
bronte	1110	3	1.44785876244
bikini	1140	2	1.45133049498
salem	1110	3	1.44785876244
pastorate	1140	2	1.45133049498
coca	1110	3	1.44785876244
cox	1140	2	1.45133049498
loot	1140	2	1.45133049498
landslide	1140	2	1.45133049498
cock	1375	5	2.30431306448
chauvinism	1140	2	1.45133049498
cape_of_good_hope	1140	2	1.45133049498
doormat	1140	2	1.45133049498
veblen	1140	2	1.45133049498
metropolitan	1140	2	1.45133049498
eristic	1140	2	1.45133049498
fonda	1140	2	1.45133049498
kurdistan	1140	2	1.45133049498
owen	1140	2	1.45133049498
maisonnette	1140	2	1.45133049498
speedway	1140	2	1.45133049498
petitioner	1000	1	1.0
hardware	1110	3	1.44785876244
middle	1500	4	2.68627163868
aggressiveness	1110	3	1.44785876244
madonna	1140	2	1.45133049498
farsi	1140	2	1.45133049498
fame	1140	2	1.45133049498
monroe	1290	4	1.98229500311
wriggler	1140	2	1.45133049498
shooting	1190	2	1.55132913702
russell	1625	6	2.94071492696
doctor	1020	3	1.11638979531
parish	1140	2	1.45133049498
tapper	1375	5	2.30431306448
virgin_mary	1140	2	1.45133049498
butcher	1290	4	1.98229500311
speaker	1330	3	2.05072365425
powell	1140	2	1.45133049498
pan	1290	4	1.98229500311
raree-show	1140	2	1.45133049498
waxwork	1140	2	1.45133049498
fireman	1290	4	1.98229500311
patrician	1140	2	1.45133049498
vulture	1140	2	1.45133049498
foreland	1140	2	1.45133049498
harris	1440	5	2.4747591631
experimenter	1140	2	1.45133049498
decency	1140	2	1.45133049498
saint_augustine	1140	2	1.45133049498
nickname	1140	2	1.45133049498
cartoon	1140	2	1.45133049498
fielder	1140	2	1.45133049498
squatter	1140	2	1.45133049498
warrantee	1110	3	1.44785876244
dylan	1140	2	1.45133049498
waterspout	1110	3	1.44785876244
walpole	1140	2	1.45133049498
client	1110	2	1.38140206245
command	1855	6	3.45023296198
mann	1140	2	1.45133049498
hamilton	1440	5	2.4747591631
cynic	1140	2	1.45133049498
lawlessness	1140	2	1.45133049498
bearer	1290	4	1.98229500311
kali	1140	2	1.45133049498
wagner	1110	3	1.44785876244
churchill	1110	3	1.44785876244
barth	1140	2	1.45133049498
harrison	1290	4	1.98229500311
madness	1375	5	2.30431306448
plight	1140	2	1.45133049498
cabaret	1140	2	1.45133049498
baldwin	1110	3	1.44785876244
fairy_godmother	1140	2	1.45133049498
ostiary	1140	2	1.45133049498
rover	1140	2	1.45133049498
whoremaster	1140	2	1.45133049498
candidate	1250	2	1.64938488847
vulgarizer	1140	2	1.45133049498
cornell	1140	2	1.45133049498
smith	2065	8	4.10944142756
no-show	1140	2	1.45133049498
bench	1330	4	2.29986093379
wright	1625	6	2.94071492696
punter	1110	3	1.44785876244
contestant	1140	2	1.45133049498
barnburner	1140	2	1.45133049498
peepshow	1140	2	1.45133049498
du_maurier	1140	2	1.45133049498
parker	1140	2	1.45133049498
service_club	1140	2	1.45133049498
advocate	1140	2	1.45133049498
crud	1110	3	1.44785876244
virginia	1000	1	1.0
forester	1140	2	1.45133049498
atheneum	1140	2	1.45133049498
cataclysm	1140	2	1.45133049498
community	1090	4	1.43244942628
judge	1140	2	1.45133049498
loaner	1140	2	1.45133049498
shadow	1810	6	3.39500313426
burns	1140	2	1.45133049498
lady	1110	2	1.38140206245
nationalist	1140	2	1.45133049498
el_libertador	1140	2	1.45133049498
insurgent	1140	2	1.45133049498
standstill	1140	2	1.45133049498
renegade	1140	2	1.45133049498
amputation	1140	2	1.45133049498
kennedy	1140	2	1.45133049498
nasser	1140	2	1.45133049498
crematorium	1140	2	1.45133049498
pavement	1110	3	1.44785876244
writing_desk	1140	2	1.45133049498
bullfinch	1140	2	1.45133049498
little_bighorn	1140	2	1.45133049498
martin	1375	5	2.30431306448
rota	1140	2	1.45133049498
settler	1000	1	1.0
software_package	1140	2	1.45133049498
opponent	1140	2	1.45133049498
snatcher	1140	2	1.45133049498
superintendent	1140	2	1.45133049498
sierra_nevada	1140	2	1.45133049498
soma	1110	3	1.44785876244
changeling	1140	2	1.45133049498
left-hander	1140	2	1.45133049498
captive	1110	3	1.44785876244
empire	1375	5	2.30431306448
informant	1140	2	1.45133049498
cowper	1140	2	1.45133049498
library	1375	5	2.30431306448
cooper	1290	4	1.98229500311
prelacy	1140	2	1.45133049498
harriman	1140	2	1.45133049498
singing	1140	2	1.45133049498
baronetage	1140	2	1.45133049498
yogi	1140	2	1.45133049498
santa_ana	1290	4	1.98229500311
philosopher	1065	2	1.25834841163
pudding	1110	3	1.44785876244
foe	1165	2	1.50367638625
masculinity	1140	2	1.45133049498
drudge	1140	2	1.45133049498
convict	1140	2	1.45133049498
yukon	1140	2	1.45133049498
whitman	1140	2	1.45133049498
porter	1625	6	2.94071492696
officer	1365	4	2.14144187374
voluntary	1140	2	1.45133049498
sherman	1290	4	1.98229500311
watson	1110	3	1.44785876244
robbery	1140	2	1.45133049498
repository	1110	3	1.44785876244
reaching	1140	2	1.45133049498
easy_money	1140	2	1.45133049498
lefty	1140	2	1.45133049498
slaughter	1110	3	1.44785876244
zombie	1375	5	2.30431306448
weil	1140	2	1.45133049498
thrower	1110	3	1.44785876244
keeper	1140	2	1.45133049498
schumann	1140	2	1.45133049498
bazaar	1110	3	1.44785876244
gold_digger	1140	2	1.45133049498
fairy	1140	2	1.45133049498
rambler	1140	2	1.45133049498
manufacturer	1250	2	1.64938488847
works	1290	4	1.98229500311
trickster	1110	3	1.44785876244
cowboy	1110	3	1.44785876244
plaza	1140	2	1.45133049498
hard_hat	1140	2	1.45133049498
scott	1375	5	2.30431306448
burroughs	1110	3	1.44785876244
whoremonger	1140	2	1.45133049498
fast_lane	1140	2	1.45133049498
ruhr	1140	2	1.45133049498
stuart	1110	3	1.44785876244
colorado_river	1140	2	1.45133049498
cordon_bleu	1140	2	1.45133049498
joplin	1140	2	1.45133049498
sept	1140	2	1.45133049498
marlowe	1140	2	1.45133049498
maisonette	1140	2	1.45133049498
respondent	1140	2	1.45133049498
colorado	1110	3	1.44785876244
rudiment	1140	2	1.45133049498
medallist	1140	2	1.45133049498
terry	1140	2	1.45133049498
comedienne	1140	2	1.45133049498
field_of_honor	1140	2	1.45133049498
aliyah	1140	2	1.45133049498
burton	1110	3	1.44785876244
cubicle	1110	3	1.44785876244
showman	1140	2	1.45133049498
parentage	1110	3	1.44785876244
saint_nicholas	1140	2	1.45133049498
pitot	1140	2	1.45133049498
panorama	1140	2	1.45133049498
utility_man	1140	2	1.45133049498
imperial	1140	2	1.45133049498
rusher	1110	3	1.44785876244
vicksburg	1140	2	1.45133049498
frustration	1110	3	1.44785876244
valencia	1140	2	1.45133049498
packinghouse	1140	2	1.45133049498
morrison	1140	2	1.45133049498
pricket	1140	2	1.45133049498
mailer	1290	4	1.98229500311
amateur	1000	1	1.0
stimulant	1140	2	1.45133049498
small_fry	1140	2	1.45133049498
coke	1110	3	1.44785876244
buttery	1140	2	1.45133049498
singer	1110	3	1.44785876244
inactiveness	1140	2	1.45133049498
striker	1375	5	2.30431306448
pixie	1140	2	1.45133049498
uncle	1140	2	1.45133049498
competition	1470	3	2.33563234434
bagger	1140	2	1.45133049498
potato	1140	2	1.45133049498
conservator	1140	2	1.45133049498
corduroy	1140	2	1.45133049498
thorndike	1140	2	1.45133049498
wise	1110	3	1.44785876244
stanford	1140	2	1.45133049498
corpus_christi	1140	2	1.45133049498
indisposition	1140	2	1.45133049498
redeemer	1140	2	1.45133049498
prescriptivism	1140	2	1.45133049498
gould	1140	2	1.45133049498
charmer	1140	2	1.45133049498
signer	1140	2	1.45133049498
protectiveness	1140	2	1.45133049498
aa	1110	3	1.44785876244
rotisserie	1140	2	1.45133049498
citizenship	1140	2	1.45133049498
barrymore	1375	5	2.30431306448
umpire	1140	2	1.45133049498
pic	1140	2	1.45133049498
olympic_games	1140	2	1.45133049498
amphitheater	1140	2	1.45133049498
rubinstein	1140	2	1.45133049498
pelter	1140	2	1.45133049498
ar	1110	3	1.44785876244
